iter	Passed	Remaining
718	2572	1005
719	2576	1001
720	2579	998
721	2582	994
722	2585	990
723	2588	986
724	2591	982
725	2593	978
726	2596	974
727	2599	971
728	2602	967
729	2605	963
730	2607	959
731	2610	955
732	2613	952
733	2616	948
734	2619	944
735	2622	940
736	2625	936
737	2628	933
738	2630	929
739	2634	925
740	2637	921
741	2640	917
742	2642	914
743	2645	910
744	2648	906
745	2651	902
746	2654	898
747	2656	894
748	2658	891
749	2661	887
750	2665	883
751	2667	879
752	2669	875
753	2672	871
754	2675	868
755	2678	864
756	2681	860
757	2684	856
758	2686	853
759	2689	849
760	2691	845
761	2695	841
762	2698	838
763	2700	834
764	2704	830
765	2707	827
766	2711	823
767	2713	819
768	2716	815
769	2718	812
770	2721	808
771	2724	804
772	2727	800
773	2730	797
774	2733	793
775	2735	789
776	2738	785
777	2742	782
778	2744	778
779	2747	774
780	2749	771
781	2752	767
782	2756	763
783	2758	760
784	2761	756
785	2764	752
786	2766	748
787	2770	745
788	2773	741
789	2777	738
790	2780	734
791	2783	730
792	2787	727
793	2790	724
794	2794	720
795	2797	717
796	2801	713
797	2804	709
798	2806	706
799	2809	702
800	2812	698
801	2814	694
802	2818	691
803	2821	687
804	2824	684
805	2826	680
806	2829	676
807	2833	673
808	2836	669
809	2838	665
810	2841	662
811	2843	658
812	2847	654
813	2849	651
814	2852	647
815	2854	643
816	2857	640
817	2860	636
818	2863	632
819	2866	629
820	2868	625
821	2871	621
822	2873	618
823	2877	614
824	2880	611
825	2882	607
826	2885	603
827	2887	599
828	2890	596
829	2894	592
830	2897	589
831	2899	585
832	2902	581
833	2904	578
834	2907	574
835	2911	571
836	2913	567
837	2916	563
838	2919	560
839	2921	556
840	2925	553
841	2928	549
842	2930	545
843	2933	542
844	2935	538
845	2939	535
846	2942	531
847	2945	527
848	2947	524
849	2950	520
850	2953	517
851	2956	513
852	2959	509
853	2961	506
854	2964	502
855	2967	499
856	2970	495
857	2973	492
858	2976	488
859	2978	484
860	2981	481
861	2985	477
862	2988	474
863	2990	470
864	2993	467
865	2995	463
866	2998	459
867	3001	456
868	3004	452
869	3006	449
870	3009	445
871	3012	442
872	3015	438
873	3018	435
874	3021	431
875	3024	428
876	3027	424
877	3030	421
878	3033	417
879	3036	414
880	3038	410
881	3041	406
882	3044	403
883	3047	399
884	3050	396
885	3053	392
886	3055	389
